Unnamed: 0,ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long
8208382,421-07-7177,3534945553430195,Shelia,Fleming,F,153 Dennis Crossing,Weston,WV,26452,39.0411,-80.4737,9676,Human resources officer,1965-12-28,541742634590,adults_50up_female_urban.json,5b159948cb3f4e2b1a82dbe014e2f7db,2020-06-04,19:55:30,1591280730,health_fitness,16.74,0,fraud_Hirthe-Beier,38.224419,-80.100552
12606453,061-53-6686,4183314058259431806,Nicole,Todd,F,088 Jeffrey Prairie Apt. 394,Mountain Center,CA,92561,33.6401,-116.5567,1661,"Administrator, charities/voluntary organisations",1967-05-14,554244831767,adults_50up_female_rural.json,93550825285d02993ed8a30d269025c8,2019-11-10,01:16:24,1573328784,shopping_net,745.63,0,fraud_Schmidt and Sons,32.952717,-116.368019
28301366,038-31-5036,2261044046656441,Matthew,Mann,M,3315 Holmes Junctions,Greensboro,NC,27410,36.1032,-79.8794,305168,Oncologist,1996-09-06,628245054586,adults_2550_male_urban.json,b6a1fc16622b0ed557f0af093ecc8512,2020-08-12,20:29:53,1597244393,home,94.13,0,"fraud_Bahringer, Bergnaum and Quitzon",35.419988,-80.107734
11771739,830-11-6351,374795838353160,Carolyn,Hall,F,242 Carroll Bypass,Spokane,WA,99208,47.7374,-117.4352,342856,Hydrologist,1962-07-31,663905650306,adults_50up_female_urban.json,2e944bdc8faa762005f0b0486010d307,2019-09-21,02:28:11,1569013091,shopping_net,73.43,0,"fraud_Heathcote, Yost and Kertzmann",47.441771,-117.255467
12450008,408-99-8998,4122635746026142330,Andre,Rice,M,8085 Burgess Junctions,Myrtle Beach,SC,29588,33.7226,-78.9782,119080,"Therapist, occupational",2003-06-30,115066483855,young_adults_male_urban.json,f4c5d40c54cb268beb8f501df22785d6,2019-04-21,03:00:46,1555795846,gas_transport,35.49,0,"fraud_Raynor, Reinger and Hagenes",33.911297,-78.05701
3327444,683-55-3251,30189239231264,Andrew,Mooney,M,0931 Omar Pine,Brooklyn,NY,11219,40.6336,-73.996,2504700,Information officer,1998-06-01,698791861372,adults_2550_male_urban.json,c36f1af6112475fef08e986c0ad3d80d,2019-12-19,19:53:25,1576765405,shopping_pos,5.14,0,"fraud_Swaniawski, Lowe and Robel",40.477889,-73.301726
32744085,126-39-0054,676319646292,Ronald,Carey,M,387 Diamond Road,Ankeny,IA,50023,41.7194,-93.6266,49581,Solicitor,1954-09-28,919407749653,adults_50up_male_urban.json,6250c1ac3bcb41cb8630c0a1c82ab2dd,2019-03-15,00:25:43,1552589743,gas_transport,4.33,0,fraud_Emard Inc,41.800658,-93.242894
9005333,279-05-5824,38025015544946,Amanda,Rivas,F,5256 Tracy Grove Suite 555,Lubbock,TX,79412,33.5463,-101.8577,254282,Public librarian,1944-10-11,741967780833,adults_50up_female_urban.json,11dbe127fa78b830ef4ec299214a0ca2,2020-02-23,00:17:28,1582397248,food_dining,2.99,0,fraud_Powlowski-Weimann,33.609571,-101.414139
28813972,420-40-9450,376382213611997,Rebecca,Stephens,F,41499 Kristin Turnpike,Macon,GA,31217,32.8118,-83.565,165895,Publishing copy,1986-04-18,595853567668,adults_2550_female_urban.json,7bc25dd8798b342de5472b3be3985704,2019-08-18,04:49:58,1566083998,misc_pos,193.64,0,fraud_Smith-Stokes,33.054062,-82.960849
27961891,271-89-1912,213130352825705,Kevin,Smith,M,7144 Kim Stream,Downingtown,PA,19335,40.0161,-75.7183,46984,Colour technologist,1991-12-10,110161567891,adults_2550_male_urban.json,11f90e789560a66f4b63fe1fc576e73e,2020-03-10,16:45:57,1583838957,entertainment,7.98,0,fraud_Reichel Inc,39.910516,-75.018347
